date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:35:05	5254/5254	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://htmlku.com/robots.txt		(from )
22:35:06	5291/5291	---M-Z	200	added ('OK')	text/html	etag:W/%226982debd-14ab%22	https://htmlku.com/pokoknya/play/	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/htmlku.com/pokoknya/play/index.html	(from )
22:35:06	7745/7745	---M--	200	added ('OK')	image/png	etag:%22697b5d6c-1e41%22	https://feeldreams.github.io/main-icon.png	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/feeldreams.github.io/main-icon.png	(from https://htmlku.com/pokoknya/play/)
22:35:06	18454/18454	---M-Z	200	added ('OK')	text/css	etag:W/%224816-00NTceTFOXSCfuleSHYg+tVGAkA%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.css	(from https://htmlku.com/pokoknya/play/)
22:35:06	64046/64046	---M-Z	200	added ('OK')	application/javascript	etag:W/%22fa2e-HV0g5f4dJ6DqsUeCErN00mwkKtc%22	https://cdn.jsdelivr.net/npm/sweetalert2@11.0.19/dist/sweetalert2.all.min.js	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/cdn.jsdelivr.net/npm/sweetalert2@11.0.19/dist/sweetalert2.all.min.js	(from https://htmlku.com/pokoknya/play/)
22:35:06	9232/9232	---M-Z	200	added ('OK')	text/css	etag:W/%226982debd-2410%22	https://htmlku.com/pokoknya/style.css	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/htmlku.com/pokoknya/style.css	(from https://htmlku.com/pokoknya/play/)
22:35:07	9770/9770	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2022%20Sep%202025%2021:58:34%20GMT	https://unpkg.com/typeit@8.7.0/dist/index.umd.js	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/unpkg.com/typeit@8.7.0/dist/index.umd.js	(from https://htmlku.com/pokoknya/play/)
22:35:07	101650/101650	---M--	200	added ('OK')	image/jpeg	etag:%22697b5d6c-18d12%22	https://feeldreams.github.io/wp2.jpeg	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/feeldreams.github.io/wp2.jpg	(from https://htmlku.com/pokoknya/play/)
22:35:07	55654/55654	---M--	200	added ('OK')	image/gif	etag:%22697b5d6c-d966%22	https://feeldreams.github.io/pusn.gif	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/feeldreams.github.io/pusn.gif	(from https://htmlku.com/pokoknya/play/)
22:35:08	57269/57269	---M--	200	added ('OK')	image/gif	etag:%22697b5d6c-dfb5%22	https://feeldreams.github.io/hearthappy.gif	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/feeldreams.github.io/hearthappy.gif	(from https://htmlku.com/pokoknya/play/)
22:35:08	223040/223040	---M--	200	added ('OK')	image/gif	etag:%22697b5d6c-36740%22	https://feeldreams.github.io/smprt.gif	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/feeldreams.github.io/smprt.gif	(from https://htmlku.com/pokoknya/play/)
22:35:08	60312/60312	---M--	200	added ('OK')	image/gif	etag:%22697b5d6c-eb98%22	https://feeldreams.github.io/ngumpet.gif	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/feeldreams.github.io/ngumpet.gif	(from https://htmlku.com/pokoknya/play/)
22:35:09	85359/85359	---M--	200	added ('OK')	image/gif	etag:%22697b5d6c-14d6f%22	https://feeldreams.github.io/cilukba.gif	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/feeldreams.github.io/cilukba.gif	(from https://htmlku.com/pokoknya/play/)
22:35:09	70288/70288	---M--	200	added ('OK')	image/gif	etag:%22697b5d6c-11290%22	https://feeldreams.github.io/pandapanah.gif	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/feeldreams.github.io/pandapanah.gif	(from https://htmlku.com/pokoknya/play/)
22:35:09	62118/62118	---M--	200	added ('OK')	image/gif	etag:%22697b5d6c-f2a6%22	https://feeldreams.github.io/emawh.gif	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/feeldreams.github.io/emawh.gif	(from https://htmlku.com/pokoknya/play/)
22:35:09	154597/154597	---M-Z	200	added ('OK')	application/javascript	etag:W/%2225be5-n7vuhWVYfwo6iXqEBF16IW76OmQ%22	https://cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/cdn.jsdelivr.net/npm/swiper@11/swiper-bundle.min.js	(from https://htmlku.com/pokoknya/play/)
22:35:10	13693/13693	---M-Z	200	added ('OK')	application/javascript	etag:W/%226982debd-357d%22	https://htmlku.com/pokoknya/script.js	C:/Users/Dimas/Documents/kamu%20sayang%20aku%20ga/htmlku.com/pokoknya/script.js	(from https://htmlku.com/pokoknya/play/)
